index,country_code,country_name,year,value,country,sub region,Continent,rank,Value_rel,Value_lbl
8,AGO,Angola,1990,11236275843,Angola,Middle Africa,Africa,11,0.097239994,11
19,CMR,Cameroon,1990,12314482085,Cameroon,Middle Africa,Africa,8,0.106570913,12
24,DZA,Algeria,1990,62048562947,Algeria,Northern Africa,Africa,2,0.53697524,62
40,EGY,"Egypt, Arab Rep.",1990,42978914311,Egypt,Northern Africa,Africa,4,0.371944357,43
53,ETH,Ethiopia,1990,12175166763,Ethiopia,Eastern Africa,Africa,10,0.105365262,12
78,LBY,Libya,1990,28901836158,Libya,Northern Africa,Africa,6,0.25011974,29
91,MAR,Morocco,1990,30180108562,Morocco,Northern Africa,Africa,5,0.261182053,30
102,NGA,Nigeria,1990,54035795388,Nigeria,Western Africa,Africa,3,0.467631849,54
106,SDN,Sudan,1990,12408647541,Sudan,Northern Africa,Africa,7,0.107385831,12
110,TUN,Tunisia,1990,12290568182,Tunisia,Northern Africa,Africa,9,0.106363959,12
131,ZAF,South Africa,1990,1.16E+11,South Africa,Southern Africa,Africa,1,1,116
15,CIV,Cote d'Ivoire,2000,16577533355,C<f4>te d<U+0092>Ivoire,Western Africa,Africa,9,0.109240235,17
20,COD,"Congo, Dem. Rep.",2000,19088046306,Democratic Republic of the Congo,Middle Africa,Africa,8,0.12578365,19
23,DZA,Algeria,2000,54790392746,Algeria,Northern Africa,Africa,4,0.361049816,55
33,EGY,"Egypt, Arab Rep.",2000,99838543960,Egypt,Northern Africa,Africa,2,0.657901616,100
66,KEN,Kenya,2000,12705357103,Kenya,Eastern Africa,Africa,11,0.083723927,13
77,LBY,Libya,2000,38270206950,Libya,Northern Africa,Africa,6,0.252187482,38
84,MAR,Morocco,2000,38857251336,Morocco,Northern Africa,Africa,5,0.256055902,39
93,NGA,Nigeria,2000,69448756933,Nigeria,Western Africa,Africa,3,0.457643387,69
109,TUN,Tunisia,2000,21473261837,Tunisia,Northern Africa,Africa,7,0.141501399,21
113,TZA,Tanzania,2000,13375976354,United Republic of Tanzania,Eastern Africa,Africa,10,0.088143077,13
125,ZAF,South Africa,2000,1.52E+11,South Africa,Southern Africa,Africa,1,1,152
1,AGO,Angola,2011,1.12E+11,Angola,Middle Africa,Africa,5,0.243975365,112
13,CIV,Cote d'Ivoire,2011,36693712825,C<f4>te d<U+0092>Ivoire,Western Africa,Africa,11,0.080081957,37
28,DZA,Algeria,2011,2.00E+11,Algeria,Northern Africa,Africa,4,0.436517082,200
34,EGY,"Egypt, Arab Rep.",2011,2.36E+11,Egypt,Northern Africa,Africa,3,0.515034854,236
60,GHA,Ghana,2011,39337314810,Ghana,Western Africa,Africa,10,0.085851469,39
67,KEN,Kenya,2011,46869457318,Kenya,Eastern Africa,Africa,9,0.102289945,47
88,MAR,Morocco,2011,1.01E+11,Morocco,Northern Africa,Africa,6,0.221234303,101
94,NGA,Nigeria,2011,4.05E+11,Nigeria,Western Africa,Africa,2,0.883876544,405
105,SDN,Sudan,2011,55018567211,Sudan,Northern Africa,Africa,7,0.120074917,55
111,TUN,Tunisia,2011,48122838145,Tunisia,Northern Africa,Africa,8,0.105025378,48
123,ZAF,South Africa,2011,4.58E+11,South Africa,Southern Africa,Africa,1,1,458
5,AGO,Angola,2012,1.28E+11,Angola,Middle Africa,Africa,5,0.281125001,128
21,DZA,Algeria,2012,2.09E+11,Algeria,Northern Africa,Africa,4,0.458963956,209
35,EGY,"Egypt, Arab Rep.",2012,2.79E+11,Egypt,Northern Africa,Africa,3,0.612767891,279
