Industry,2017,2018,2019,2020,2021
Overview,100,100,100,100,100
Agriculture,20.9,20.3,20.9,22.6,22.4
Mining,0.8,0.7,0.7,0.7,0.8
Manufacturing,8.7,8.4,7.9,7.6,7.2
Electricity,1.8,1.7,1.6,1.5,1.5
Water,0.7,0.6,0.6,0.6,0.5
Construction,5.4,5.8,6.2,7,7
Trade,8.4,8.2,8.2,8.1,7.9
Transport,10.2,11.3,11.7,10.7,11.4
Accomodation_and_Food,1,1.1,1.2,0.7,1
ICT,2.6,2.6,2.5,2.6,2.4
Finance,7.5,6.7,6.5,6.8,7.1
Real Estate,9.3,9.4,9.2,9.3,8.9
Education,4.3,4.3,4.2,3.9,4.3
Health,2.1,2,1.9,2,1.9
