Industry,2017,2018,2019,2020,2021
Overview,3.8,5.6,5.1,-0.3,7.5
Agriculture,-1.3,5.7,2.7,4.6,-0.2
Mining,3.2,-4.7,4.3,5.5,18.1
Manufacturing,0.7,3.6,2.6,-0.4,6.9
Electricity,5.6,4,1.9,-0.4,4.4
Water,-3.2,2.5,1.3,3.4,6.4
Construction,6.3,6.1,7.2,10.1,6.6
Trade,4.3,5.9,5.3,-0.5,7.9
Transport,3.5,6,6.3,-7.8,7.2
Accomodation_and_Food,9.4,15.6,14.3,-47.7,52.5
ICT,8.1,7.9,7,6.3,8.8
Finance,4.1,2.7,8.1,5.9,12.5
Real Estate,6.7,6.5,6.7,4.1,6.7
Education,8.7,6.8,5.7,-9.3,21.4
Health,6.4,5.4,5.5,5.7,6
