Industry,2017,2018,2019,2020,2021
Overview,8483396,9340307,10237727,10716034,12098200
Agriculture,1772490,1897475,2135709,2424075,2713414
Mining,71675,68909,72769,76327,91849
Manufacturing,741376,785369,809253,815667,876420
Electricity,156737,157521,161716,162850,177115
Water,59271,59648,58912,60070,63274
Construction,455833,545654,630653,750153,847422
Trade,713561,762968,837918,866502,957839
Transport,862956,1056264,1202830,1151833,1383555
Accomodation_and_Food,85252,100019,119581,77813,119865
ICT,223497,240120,257419,274711,294379
Finance,634089,622625,667702,724289,856513
Real Estate,792515,881622,946732,995910,1072543
Education,365477,399515,431876,413026,515129
Health,175811,188778,197969,213215,232623
